name,address,phone,dine_in,source_url,scraped_at
5 Mərtəbə,,+994552527617,24 saat,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Amay,,+994552155783,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Azadlıq,,+994552527627,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Ayna Sultanova,,+994552522814,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Badamdar,,+994552097293,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Bakıxanov 1,,+994552001375,11:00-23:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Bakıxanov 2,,+994554573506,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Bayıl,,+994554573529,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Bilgəh,,+994552001746,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Binəqədi,,+994552001389,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Bulvar,,+994552576863,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Corner,,+994552527629,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Duet,,+994552527606,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Əcəmi,,+994552155781,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Əhmədli,,+994552001379,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Həzi Aslanov,,+994552092945,24 saat,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Hüseyn Cavid,,+994552059429,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
İnşaatçılar,,+994552059428,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
İnqilab,,+994554449297,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Gəncə,,+994999291111,11:00-23:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Lənkəran,,+994552522812,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Masazır,,+994552001394,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Mərdəkan,,+994552527609,24 saat,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Neftçilər,,+994552059432,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Nərimanov,,+994552527621,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Space,,+994552527607,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Sumqayıt,,+994554402069,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Tarqoviy 1,,+994552527605,24 saat,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Tarqoviy 2,,+994552527610,11:00-23:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
Zığ,,+994552527608,09:00-03:00,https://www.shaurma.az/#restaurant,2026-02-23T19:54:58.341277+00:00
